NODEID,x,y
S9CHBPJ3B,307755.12304323004,2772202.888015963
S9CR7PHVF,308006.63503122475,2772015.4949725126
S9CBDPHUX,307564.5720515862,2771999.470001474
S9CJAPJP2,307785.8870408691,2772833.902045014
S9CLRPJ2M,307864.73798683315,2772181.034968208
S9CTLPHUD,308083.201113893,2771981.5450445837
S9CA2PHT5,307521.9871323321,2771940.9079932147
S9CM8PJ4Q,307879.885218379,2772248.3959905584
S9CJ4PJQ8,307779.64100873156,2772872.261991791
S9CKKPJ95,307826.9640309846,2772389.2279574433
S9CMHPJ37,307889.1549546525,2772198.9170381213
S9CNRPHQ4,307928.66903288773,2771843.8669926883
S9CUUPHTL,308123.33301141224,2771956.4119912554
S9CV3PHTR,308130.4012028577,2771961.4990136633
S9C8KPHAK,307474.6960225861,2771411.234953734
S9CAVPHG4,307548.9211220362,2771587.892122815
S9CMMPJ3F,307893.122044692,2772207.3210474453
S9CH6PJXL,307749.28910495574,2773108.3789890837
S9CHUPJV2,307771.68296927994,2773025.738033718
S9CJMPJFJ,307797.06595865585,2772594.3629867435
S9CNCPJ1H,307915.88098231633,2772145.4400417297
S9CR2PHNE,308001.2342280322,2771790.3610365544
S9CUQPHSG,308119.9600447498,2771919.6809929186
S9C15PHG8,307236.7350398078,2771591.57096406
S9CW1PHT9,308160.2049990657,2771945.066021831
S9CVBPHTX,308138.79209291795,2771967.2870403538
S9C63PH5S,307394.68297162023,2771258.393979398
S9CDNPHGV,307637.64003758255,2771612.7329847827
S9CADPHGA,307532.25712858234,2771593.898969234
S9CBUPHFR,307579.23101010785,2771576.965120214
S9CM0PJ7Q,307871.5101418309,2772343.856028499
S9D4KPHX1,308370.35497262696,2772064.6879984695
S9CKRPKM0,307832.16014459945,2773792.0620074547
S9CNKPK1P,307922.704539512,2773174.7851020005
S9CGJPJXC,307730.10212411935,2773100.280033207
S9CNBPK08,307915.08798763854,2773127.657016481
S9CJQPJNE,307799.9359505414,2772814.1640073853
S9CHRPJMC,307769.0191020993,2772780.1460368144
S9CPFPJ03,307950.22199895757,2772098.556966392
S9CTWPHQ5,308093.91902397503,2771845.1290303413
S9CV7PHMM,308134.6229678513,2771764.9559990596
S9BVKPHGC,307122.6950164531,2771595.6710386244
S9C4HPHGC,307344.74595947034,2771595.981993328
S9C16PHJ2,307238.09508691775,2771650.256041793
S9CWUPHSM,308187.5719994893,2771925.348022868
S9D5XPJ01,308414.53801901237,2772097.242037726
S9CT8PHVB,308071.24599598383,2772010.8369930936
S9CWRPHUS,308184.81614269543,2771994.067988479
S9BHVPGS0,306748.73798528186,2770880.13802725
S9BV6PGLP,307109.3760007361,2770710.9019665313
S9CQEPHP9,307981.44411909103,2771816.9469658015
S9C15PHFP,307237.0515540919,2771575.17497242
S9C81PHGA,307456.3509823336,2771593.875036486
S9CA9PHHU,307528.79898692336,2771644.3360376568
S9CADPHFC,307532.2999542429,2771564.5149815734
S9CBFPHEV,307566.86414360866,2771548.6310939724
S9CAQPHLP,307543.25099778286,2771734.659044663
S9CCCPHF9,307596.0950116321,2771561.5169781884
S9CQWPJ8G,307997.42903450684,2772368.490013922
S9CKUPJFD,307835.27603865595,2772588.9700134844
S9DUCPJD3,309132.12100904016,2772515.3839850756
S9CQ6PHPL,307973.72101466544,2771828.4000377646
S9CNFPKPQ,307918.6650246588,2773879.768016862
S9CKDPKS8,307821.0180021534,2773960.354002338
S9CP1PK0G,307936.79936706857,2773135.8770808564
S9CR3PK2K,308003.12196588464,2773203.103043128
S9DDGPJ3P,308655.5349778055,2772215.5091179316
S9CG9PK2W,307720.63902232685,2773213.8540034136
S9CQUPJPA,307995.165001862,2772841.7990154405
S9CKCPJJN,307819.2859509843,2772693.81297277
S9CB6PHV5,307557.5469517268,2772004.884977364
